
--- Starting new training session ---
Training FNO model with config: configs/training/FNO.yaml
All devices: [CudaDevice(id=0)]
Default backend: gpu
Starting training for FNO

--- Training for family: Prada2013_CC ---
Loading dataset from: data/dataset/FNO/Prada2013_CC_11000.npz

--- Training anode model for Prada2013_CC ---
X_train shape: (9900, 24, 85, 4), Y_train shape: (9900, 24, 85, 1)

Training anode:   0%|          | 0/150 [00:00<?, ?it/s]2026-06-03 23:23:46.297170: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.

Epoch 57/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  37%|███▋      | 56/150 [03:33<05:30,  3.52s/it]
Epoch 57/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  38%|███▊      | 57/150 [03:33<05:28,  3.53s/it]
Epoch 58/150 | Train Loss: 0.0006 | Test Loss: 0.0010:  38%|███▊      | 57/150 [03:37<05:28,  3.53s/it]
Epoch 58/150 | Train Loss: 0.0006 | Test Loss: 0.0010:  39%|███▊      | 58/150 [03:37<05:24,  3.53s/it]
Epoch 59/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  39%|███▊      | 58/150 [03:40<05:24,  3.53s/it]
Epoch 59/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  39%|███▉      | 59/150 [03:40<05:21,  3.53s/it]
Epoch 60/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  39%|███▉      | 59/150 [03:44<05:21,  3.53s/it]
Epoch 60/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  40%|████      | 60/150 [03:44<05:17,  3.53s/it]
Epoch 61/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  40%|████      | 60/150 [03:47<05:17,  3.53s/it]
Epoch 61/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  41%|████      | 61/150 [03:47<05:14,  3.53s/it]
Epoch 62/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  41%|████      | 61/150 [03:51<05:14,  3.53s/it]
Epoch 62/150 | Train Loss: 0.0006 | Test Loss: 0.0006:  41%|████▏     | 62/150 [03:51<05:10,  3.53s/it]
Epoch 63/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  41%|████▏     | 62/150 [03:54<05:10,  3.53s/it]
Epoch 63/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  42%|████▏     | 63/150 [03:54<05:07,  3.53s/it]
Epoch 64/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  42%|████▏     | 63/150 [03:58<05:07,  3.53s/it]
